Year,Region,Center,Section,Table name,Category,Number,Area (Donum),Table name_Number and area of ​​farms,Center_lab,Section_Agriculture extension ,Region_AlDhafra Region,Category_Farms
2012,AlDhafra Region,AlDhafra,Agriculture extension ,Number and area of ​​farms,Farms,132,2473,True,4,True,True,True
2012,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,111,1110,True,1,True,True,True
2012,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,116,1776,True,2,True,True,True
2012,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1931,43970,True,3,True,True,True
2012,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1011,True,5,True,True,True
2012,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,472,18217,True,6,True,True,True
2012,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,870,18990,True,7,True,True,True
2012,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1269,28872,True,8,True,True,True
2012,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,536,15338,True,9,True,True,True
2012,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1624,36896,True,10,True,True,True
2012,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,524,21006,True,11,True,True,True
2012,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,885,20799,True,12,True,True,True
2013,AlDhafra Region,AlDhafra,Agriculture extension ,Number and area of ​​farms,Farms,132,2473,True,4,True,True,True
2013,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,111,1110,True,1,True,True,True
2013,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,116,1776,True,2,True,True,True
2013,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1931,43970,True,3,True,True,True
2013,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1011,True,5,True,True,True
2013,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,472,18217,True,6,True,True,True
2013,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,870,18990,True,7,True,True,True
2013,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1269,28872,True,8,True,True,True
2013,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,536,15338,True,9,True,True,True
2013,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1624,36896,True,10,True,True,True
2013,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,524,21006,True,11,True,True,True
2013,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,885,20799,True,12,True,True,True
2014,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2014,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2014,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2014,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2014,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2014,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2014,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2014,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2014,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2014,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2014,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2014,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
2015,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2015,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2015,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2015,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2015,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2015,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2015,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2015,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2015,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2015,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2015,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2015,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
2016,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2016,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2016,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2016,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2016,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2016,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2016,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2016,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2016,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2016,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2016,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2016,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
2017,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2017,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2017,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2017,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2017,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2017,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2017,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2017,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2017,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2017,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2017,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2017,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
2018,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2018,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2018,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2018,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2018,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2018,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2018,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2018,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2018,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2018,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2018,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2018,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
2019,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2019,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2019,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2019,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2019,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2019,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2019,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2019,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2019,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2019,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2019,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2019,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
2020,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619,True,3,True,True,True
2020,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656,True,2,True,True,True
2020,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278,True,0,True,True,True
2020,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980,True,1,True,True,True
2020,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157,True,12,True,True,True
2020,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223,True,8,True,True,True
2020,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115,True,7,True,True,True
2020,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013,True,5,True,True,True
2020,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264,True,11,True,True,True
2020,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410,True,6,True,True,True
2020,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802,True,9,True,True,True
2020,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170,True,10,True,True,True
