Indicator_EN,Variable_EN - Final Discharge,Unit_EN,Geography_EN,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value,Variable_EN - Final Discharge_Dispose in Gulf Water,Variable_EN - Final Discharge_Dispose inValleys,Variable_EN - Final Discharge_Dispose to Lagoon,Variable_EN - Final Discharge_Irrigation,Variable_EN - Final Discharge_Other,Variable_EN - Final Discharge_Storage,Variable_EN - Final Discharge_Treated Wasewater,Unit_EN_%,Unit_EN_Million M3,Unit_EN_m3 / yearly,Geography_EN_Abu Dhabi,Geography_EN_Ajman,Geography_EN_Dubai,Geography_EN_Fujairah,Geography_EN_Ras Al-Khaimah ,Geography_EN_Sharjah,Geography_EN_Total ,Geography_EN_Total %,Geography_EN_Umm Al-Quwain ,Indicator_EN_Treated Wastewater Distribution
Treated Wastewater Distribution,Treated Wasewater,Million M3,Abu Dhabi,2017,2017,310.7195292468086,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Dubai,2017,2017,268.669649,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Sharjah,2017,2017,101.32951500000001,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ajman,2017,2017,34.386566,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Umm Al-Quwain ,2017,2017,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ras Al-Khaimah ,2017,2017,12.902775550000001,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Fujairah,2017,2017,7.54429,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Total ,2017,2017,735.5523247968086,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Treated Wasewater,%,Total %,2017,2017,100,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Abu Dhabi,2017,2017,174.43962404919898,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Dubai,2017,2017,230,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Sharjah,2017,2017,72.46714,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Ajman,2017,2017,7.332929,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Umm Al-Quwain ,2017,2017,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Irrigation,Million M3,Ras Al-Khaimah ,2017,2017,9.675811207,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Fujairah,2017,2017,0.073301,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Total ,2017,2017,493.98880525619893,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Irrigation,%,Total %,2017,2017,67.1588938819084,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Storage,Million M3,Abu Dhabi,2017,2017,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Dubai,2017,2017,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Sharjah,2017,2017,9.812295,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Ajman,2017,2017,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Umm Al-Quwain ,2017,2017,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Storage,Million M3,Ras Al-Khaimah ,2017,2017,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Fujairah,2017,2017,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Total ,2017,2017,9.812295,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Storage,%,Total %,2017,2017,1.3340036689722354,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Abu Dhabi,2017,2017,127.43785767960944,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Dubai,2017,2017,8.5,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Sharjah,2017,2017,18.86466,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Ajman,2017,2017,21.8309,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Umm Al-Quwain ,2017,2017,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Ras Al-Khaimah ,2017,2017,2.6401538430000002,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Fujairah,2017,2017,7.117744,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Total ,2017,2017,186.3913155226094,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,%,Total %,2017,2017,25.340320360498996,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Other,Million M3,Abu Dhabi,2017,2017,8.84204751800001,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Dubai,2017,2017,30.2,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Sharjah,2017,2017,0.18542,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Ajman,2017,2017,5.222737,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Umm Al-Quwain ,2017,2017,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Other,Million M3,Ras Al-Khaimah ,2017,2017,0.5868105,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Fujairah,2017,2017,0.353245,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Total ,2017,2017,45.39026001800001,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Other,%,Total %,2017,2017,6.17090837562627,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Abu Dhabi,2016,2016,325916360.5260279,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Dubai,2016,2016,257739291.70967743,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Sharjah,2016,2016,98800236,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ajman,2016,2016,30124344,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Umm Al-Quwain ,2016,2016,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ras Al-Khaimah ,2016,2016,13312884,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Fujairah,2016,2016,7161160,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Total ,2016,2016,733054276.2357054,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Treated Wasewater,%,Total %,2016,2016,100.00022852071096,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Abu Dhabi,2016,2016,166505063.90139195,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Dubai,2016,2016,225020545,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Sharjah,2016,2016,64791200,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Ajman,2016,2016,7218020,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Umm Al-Quwain ,2016,2016,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Irrigation,Million M3,Ras Al-Khaimah ,2016,2016,6388127.4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Fujairah,2016,2016,70306,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Total ,2016,2016,469993262.30139196,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Irrigation,%,Total %,2016,2016,64.11438791610989,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Storage,Million M3,Abu Dhabi,2016,2016,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Dubai,2016,2016,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Sharjah,2016,2016,9899731,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Ajman,2016,2016,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Umm Al-Quwain ,2016,2016,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Storage,Million M3,Ras Al-Khaimah ,2016,2016,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Fujairah,2016,2016,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Storage,Million M3,Total ,2016,2016,9899731,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Storage,%,Total %,2016,2016,1.3504772185268383,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Abu Dhabi,2016,2016,150253613.99999994,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Dubai,2016,2016,29397169,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Sharjah,2016,2016,23000904,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Ajman,2016,2016,16696181,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Umm Al-Quwain ,2016,2016,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Ras Al-Khaimah ,2016,2016,6148800,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Fujairah,2016,2016,6740656,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Total ,2016,2016,232237323.99999994,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,%,Total %,2016,2016,31.68078156402796,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Other,Million M3,Abu Dhabi,2016,2016,9159358.80548,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Dubai,2016,2016,3321577.709677428,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Sharjah,2016,2016,1108401,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Ajman,2016,2016,6210142,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Umm Al-Quwain ,2016,2016,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Other,Million M3,Ras Al-Khaimah ,2016,2016,775956.6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Fujairah,2016,2016,350198,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Total ,2016,2016,20925634.11515743,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Other,%,Total %,2016,2016,2.854581822046288,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Abu Dhabi,2015,2015,332259663.194759,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Dubai,2015,2015,242452657.52,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Sharjah,2015,2015,88988217,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ajman,2015,2015,28061563,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Umm Al-Quwain ,2015,2015,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ras Al-Khaimah ,2015,2015,12834951.25,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Fujairah,2015,2015,6411865,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Total ,2015,2015,711008916.964759,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Treated Wasewater,%,Total %,2015,2015,100,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Abu Dhabi,2015,2015,170807938.628207,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Dubai,2015,2015,211471625.231444,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Sharjah,2015,2015,57278355.000000015,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Ajman,2015,2015,6873798,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Umm Al-Quwain ,2015,2015,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Irrigation,Million M3,Ras Al-Khaimah ,2015,2015,5237476.25,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Fujairah,2015,2015,58779,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Total ,2015,2015,451727972.10965097,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Irrigation,%,Total %,2015,2015,63.53337649238523,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Abu Dhabi,2015,2015,155939144,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Dubai,2015,2015,19456422.768556,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Sharjah,2015,2015,30031592,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Ajman,2015,2015,15257546,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Umm Al-Quwain ,2015,2015,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Ras Al-Khaimah ,2015,2015,6679500,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Fujairah,2015,2015,6305642,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Total ,2015,2015,233669846.768556,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,%,Total %,2015,2015,32.86454518265033,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Other,Million M3,Abu Dhabi,2015,2015,5512580.566551998,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Dubai,2015,2015,11524609.5,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Sharjah,2015,2015,1678270,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Ajman,2015,2015,5930219,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Umm Al-Quwain ,2015,2015,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Other,Million M3,Ras Al-Khaimah ,2015,2015,917975,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Fujairah,2015,2015,47444,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
