,Indicator_EN,Indicator_AR,Variable_EN - Final Discharge,Variable_AR - Final Discharge,Unit_EN,Unit_AR,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value
127,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Dubai,دبي,2014,2014,213719847.73950332
128,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,83116188
129,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,24689330
130,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
131,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,12576075
132,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,6059182
133,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Total ,المجموع ,2014,2014,653100432.7345059
134,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2014,2014,100
135,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2014,2014,191735137.58376682
136,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Dubai,دبي,2014,2014,179990302.2 *
137,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,48437842
138,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,2648000
139,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
140,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,8360325
141,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,81118
142,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Total ,المجموع ,2014,2014,431252724.7837668
143,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,%,%,Total %,المجموع %,2014,2014,66.03160910154791
144,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2014,2014,115748467.80968125
145,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Dubai,دبي,2014,2014,32973416
146,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,33641411
147,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,17603984
148,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
149,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,3248500
150,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,5932198
151,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Total ,المجموع ,2014,2014,209147976.80968124
152,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,%,%,Total %,المجموع %,2014,2014,32.02386131241513
153,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2014,2014,5456204.601554529
154,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Dubai,دبي,2014,2014,756129.5 **
155,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,1036935
156,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,4437346
157,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
158,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,967250
159,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,45866
160,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Total ,المجموع ,2014,2014,12699731.101554528
161,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,%,%,Total %,المجموع %,2014,2014,1.944529579988372
162,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2013,2013,283024487.78154385
163,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Dubai,دبي,2013,2013,202428797
164,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Sharjah,الشارقة  ,2013,2013,79196240
165,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ajman,عجمان   ,2013,2013,23579365
166,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2013,2013,0
167,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2013,2013,11395300
168,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Fujairah,الفجيرة  ,2013,2013,5933531
169,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Total ,المجموع ,2013,2013,605557720.7815439
170,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2013,2013,100
171,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2013,2013,153157083.076789
172,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Dubai,دبي,2013,2013,169728086
173,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Sharjah,الشارقة  ,2013,2013,40192917
174,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ajman,عجمان   ,2013,2013,5657500
175,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2013,2013,0
176,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2013,2013,7946050
177,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Fujairah,الفجيرة  ,2013,2013,118215
178,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Total ,المجموع ,2013,2013,376799851.746789
179,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,%,%,Total %,المجموع %,2013,2013,62.22360624194242
180,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2013,2013,0
181,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Dubai,دبي,2013,2013,26614
182,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Sharjah,الشارقة  ,2013,2013,0
183,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Ajman,عجمان   ,2013,2013,219324
184,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2013,2013,0
185,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2013,2013,91250
186,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2013,2013,0
187,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,Million M3,مليون م 3,Total ,المجموع ,2013,2013,337188
188,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose inValleys,تصريف إلى الوديان ,%,%,Total %,المجموع %,2013,2013,0.055682222920850385
189,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2013,2013,6374399.7047549
190,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Dubai,دبي,2013,2013,0
191,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Sharjah,الشارقة  ,2013,2013,0
192,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Ajman,عجمان   ,2013,2013,0
193,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2013,2013,0
194,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2013,2013,0
195,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2013,2013,0
196,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,Million M3,مليون م 3,Total ,المجموع ,2013,2013,6374399.7047549
197,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose to Lagoon,تصريف إلى بحيرة ,%,%,Total %,المجموع %,2013,2013,1.05264939839723
198,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2013,2013,123493005
199,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Dubai,دبي,2013,2013,29606787.33
200,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Sharjah,الشارقة  ,2013,2013,33407081
201,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ajman,عجمان   ,2013,2013,12940870
202,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2013,2013,0
203,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2013,2013,3066000
204,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2013,2013,5815316
205,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Total ,المجموع ,2013,2013,208329059.32999998
206,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,%,%,Total %,المجموع %,2013,2013,34.40284091516936
207,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2013,2013,0
208,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Dubai,دبي,2013,2013,3067309
209,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Sharjah,الشارقة  ,2013,2013,5596242
210,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ajman,عجمان   ,2013,2013,4761671
211,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2013,2013,0
212,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2013,2013,29200
213,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2013,2013,0
214,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Total ,المجموع ,2013,2013,13717222
215,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,%,%,Total %,المجموع %,2013,2013,2.265221221570142
216,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Abu Dhabi,أبوظبي,2018,2018,300.11167418253024
217,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Dubai,دبي,2018,2018,278.61349942
218,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Sharjah,الشارقة  ,2018,2018,99.079989
219,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Ajman,عجمان   ,2018,2018,35.097967
220,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Umm Al-Quwain ,أم القيوين  ,2018,2018,1.457344
221,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Ras Al-Khaimah ,رأس الخيمة   ,2018,2018,13.374833170000002
222,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Fujairah,الفجيرة  ,2018,2018,7.874113
223,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,m3 / yearly,م3 / سنويا,Total ,المجموع ,2018,2018,735.6094197725303
224,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2018,2018,100
225,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Abu Dhabi,أبوظبي,2018,2018,169.57184006245404
226,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Dubai,دبي,2018,2018,249.90463241999998
227,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Sharjah,الشارقة  ,2018,2018,73.45509700000001
228,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Ajman,عجمان   ,2018,2018,9.157465
229,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Umm Al-Quwain ,أم القيوين  ,2018,2018,1.457344
230,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Ras Al-Khaimah ,رأس الخيمة   ,2018,2018,9.348112095
231,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Fujairah,الفجيرة  ,2018,2018,0.118166
232,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,m3 / yearly,م3 / سنويا,Total ,المجموع ,2018,2018,513.012656577454
233,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,%,%,Total %,المجموع %,2018,2018,69.73981610187795
234,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Abu Dhabi,أبوظبي,2018,2018,121.73378059863688
235,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Dubai,دبي,2018,2018,25.382181
236,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Sharjah,الشارقة  ,2018,2018,14.52116
237,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Ajman,عجمان   ,2018,2018,20.488869
238,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Umm Al-Quwain ,أم القيوين  ,2018,2018,0
239,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Ras Al-Khaimah ,رأس الخيمة   ,2018,2018,3.21771
240,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Fujairah,الفجيرة  ,2018,2018,7.366685
241,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,m3 / yearly,م3 / سنويا,Total ,المجموع ,2018,2018,192.7103855986369
242,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,%,%,Total %,المجموع %,2018,2018,26.19737872011318
243,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Abu Dhabi,أبوظبي,2018,2018,8.806058021439373
244,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Dubai,دبي,2018,2018,3.326686
245,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Sharjah,الشارقة  ,2018,2018,11.103732
246,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Ajman,عجمان   ,2018,2018,5.488133
247,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Umm Al-Quwain ,أم القيوين  ,2018,2018,0
248,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Ras Al-Khaimah ,رأس الخيمة   ,2018,2018,0.8090110749999999
249,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Fujairah,الفجيرة  ,2018,2018,0.389262
250,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,m3 / yearly,م3 / سنويا,Total ,المجموع ,2018,2018,29.922882096439373
251,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,%,%,Total %,المجموع %,2018,2018,4.067767662041674
